[columbus2 - main (2012-03-15 17:45:35,123)] INFO edu.columbia.cs.psl.metamorphic.compiler.MetamorphicClassFileTransformer.transform(23) | Rewriting edu.columbia.cs.psl.metamorphic.example.ProcessorTester
[columbus2 - main (2012-03-15 17:45:35,166)] INFO edu.columbia.cs.psl.metamorphic.compiler.MetamorphicClassFileTransformer.transform(23) | Rewriting edu.columbia.cs.psl.metamorphic.example.ProcessorTester_tests
[columbus2 - Thread-4 (2012-03-15 17:45:35,295)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(107) | Calling public static java.lang.String edu.columbia.cs.psl.metamorphic.example.ProcessorTester_tests.pickFirstString_0(java.lang.String[],edu.columbia.cs.psl.metamorphic.example.ProcessorTester,java.lang.reflect.Method) throws java.lang.Exception
[columbus2 - Thread-4 (2012-03-15 17:45:35,295)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(110) | Param: [Ljava.lang.String;@4dfeb04e
[columbus2 - Thread-4 (2012-03-15 17:45:35,295)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(110) | Param: edu.columbia.cs.psl.metamorphic.example.ProcessorTester@be8f8e3
[columbus2 - Thread-4 (2012-03-15 17:45:35,295)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(110) | Param: private java.lang.String edu.columbia.cs.psl.metamorphic.example.ProcessorTester.pickFirstString(java.lang.String[])
[columbus2 - main (2012-03-15 17:45:44,964)] INFO edu.columbia.cs.psl.metamorphic.compiler.MetamorphicClassFileTransformer.transform(23) | Rewriting edu.columbia.cs.psl.metamorphic.example.ProcessorTester
[columbus2 - main (2012-03-15 17:45:45,006)] INFO edu.columbia.cs.psl.metamorphic.compiler.MetamorphicClassFileTransformer.transform(23) | Rewriting edu.columbia.cs.psl.metamorphic.example.ProcessorTester_tests
[columbus2 - Thread-2 (2012-03-15 17:45:45,100)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(107) | Calling public static int edu.columbia.cs.psl.metamorphic.example.ProcessorTester_tests.findClosestValue_0(int[],java.lang.Integer,edu.columbia.cs.psl.metamorphic.example.ProcessorTester,java.lang.reflect.Method) throws java.lang.Exception
[columbus2 - Thread-2 (2012-03-15 17:45:45,100)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(110) | Param: [I@321984a
[columbus2 - Thread-2 (2012-03-15 17:45:45,100)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(110) | Param: 3
[columbus2 - Thread-2 (2012-03-15 17:45:45,100)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(110) | Param: edu.columbia.cs.psl.metamorphic.example.ProcessorTester@129523e1
[columbus2 - Thread-3 (2012-03-15 17:45:45,100)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(107) | Calling public static int edu.columbia.cs.psl.metamorphic.example.ProcessorTester_tests.findClosestValue_1(int[],java.lang.Integer,edu.columbia.cs.psl.metamorphic.example.ProcessorTester,java.lang.reflect.Method) throws java.lang.Exception
[columbus2 - Thread-2 (2012-03-15 17:45:45,101)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(110) | Param: private int edu.columbia.cs.psl.metamorphic.example.ProcessorTester.findClosestValue(int[],java.lang.Integer)
[columbus2 - Thread-3 (2012-03-15 17:45:45,101)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(110) | Param: [I@321984a
[columbus2 - Thread-3 (2012-03-15 17:45:45,101)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(110) | Param: 3
[columbus2 - Thread-3 (2012-03-15 17:45:45,101)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(110) | Param: edu.columbia.cs.psl.metamorphic.example.ProcessorTester@129523e1
[columbus2 - Thread-3 (2012-03-15 17:45:45,101)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(110) | Param: private int edu.columbia.cs.psl.metamorphic.example.ProcessorTester.findClosestValue(int[],java.lang.Integer)
[columbus2 - Thread-4 (2012-03-15 17:45:45,137)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(107) | Calling public static java.lang.String edu.columbia.cs.psl.metamorphic.example.ProcessorTester_tests.pickFirstString_0(java.lang.String[],edu.columbia.cs.psl.metamorphic.example.ProcessorTester,java.lang.reflect.Method) throws java.lang.Exception
[columbus2 - Thread-4 (2012-03-15 17:45:45,137)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(110) | Param: [Ljava.lang.String;@37d0f084
[columbus2 - Thread-4 (2012-03-15 17:45:45,137)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(110) | Param: edu.columbia.cs.psl.metamorphic.example.ProcessorTester@765e86bc
[columbus2 - Thread-4 (2012-03-15 17:45:45,137)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(110) | Param: private java.lang.String edu.columbia.cs.psl.metamorphic.example.ProcessorTester.pickFirstString(java.lang.String[])
